service_id,operator_name_en,best_brta_route_id,brta_route_code_en,brta_route_name_en,brta_origin_name_en,brta_destination_name_en,common_stop_count,service_coverage,brta_route_coverage,match_score,match_quality,verified,recommended_action,warning
SVC0001,Achim Paribahan,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,8,0.296,0.5,0.398,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0002,Agradut,BRTA_A_302_NO,A-302 No.,Bonsree (Meradia) to Savar,Bonsree (Meradia),Savar,8,0.4,0.8,0.6,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0003,Airport Bangabandhu Avenue,BRTA_A_132_NO,A-132 No.,Baipail to Keraniganj (New Jail),Baipail,Keraniganj (New Jail),9,0.31,0.562,0.436,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0004,Azmeri Glory,BRTA_A_266_NO,A-266 No.,Jagannath University to Chandra,Jagannath University,Chandra,7,0.212,0.583,0.398,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0005,Akash Enterprise,BRTA_A_430_NO,A-430 No.,Bhawal Vita (South Keraniganj) to Diabari,Bhawal Vita (South Keraniganj),Diabari,12,0.375,0.632,0.503,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0006,Akik,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,7,0.368,0.438,0.403,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0007,Al Makka,BRTA_A_330_NO,A-330 No.,Narayanganj to Diabari,Narayanganj,Diabari,8,0.4,0.5,0.45,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0008,Al Madina Plus One,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,10,0.385,0.714,0.549,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0009,Alif,BRTA_A_333_NO,A-333 No.,Mirpur-14 to Nandan Park,Mirpur-14,Nandan Park,5,0.357,0.625,0.491,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0010,Alif,BRTA_A_302_NO,A-302 No.,Bonsree (Meradia) to Savar,Bonsree (Meradia),Savar,5,0.294,0.5,0.397,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0011,Alif,BRTA_A_202_NO,A-202 No.,Savar to Amulia Staff Quarter,Savar,Amulia Staff Quarter,4,0.25,0.5,0.375,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0012,Alif,BRTA_A_292_NO,A-292 No.,Mohammadpur Shia Mosque to Nobinagar (Savar),Mohammadpur Shia Mosque,Nobinagar (Savar),7,0.269,0.583,0.426,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0013,Anabil Super,BRTA_A_424_NO,A-424 No.,Signboard to Dhaur,Signboard,Dhaur,9,0.265,0.6,0.432,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
