service_id,operator_name_en,best_brta_route_id,common_stop_count,service_coverage,brta_route_coverage,match_score,match_quality,verified,warning
SVC0001,Achim Paribahan,BRTA_A_320_NO,8,0.296,0.5,0.398,low,no,Algorithmic suggestion only; manually validate before production.
SVC0002,Agradut,BRTA_A_302_NO,8,0.4,0.8,0.6,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0003,Airport Bangabandhu Avenue,BRTA_A_132_NO,9,0.31,0.562,0.436,low,no,Algorithmic suggestion only; manually validate before production.
SVC0004,Azmeri Glory,BRTA_A_266_NO,7,0.212,0.583,0.398,low,no,Algorithmic suggestion only; manually validate before production.
SVC0005,Akash Enterprise,BRTA_A_430_NO,12,0.375,0.632,0.503,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0006,Akik,BRTA_A_320_NO,7,0.368,0.438,0.403,low,no,Algorithmic suggestion only; manually validate before production.
SVC0007,Al Makka,BRTA_A_330_NO,8,0.4,0.5,0.45,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0008,Al Madina Plus One,BRTA_A_429_NO,10,0.385,0.714,0.549,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0009,Alif,BRTA_A_333_NO,5,0.357,0.625,0.491,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0010,Alif,BRTA_A_302_NO,5,0.294,0.5,0.397,low,no,Algorithmic suggestion only; manually validate before production.
SVC0011,Alif,BRTA_A_202_NO,4,0.25,0.5,0.375,low,no,Algorithmic suggestion only; manually validate before production.
SVC0012,Alif,BRTA_A_292_NO,7,0.269,0.583,0.426,low,no,Algorithmic suggestion only; manually validate before production.
SVC0013,Anabil Super,BRTA_A_424_NO,9,0.265,0.6,0.432,low,no,Algorithmic suggestion only; manually validate before production.
SVC0014,Arnob,BRTA_A_302_NO,8,0.4,0.8,0.6,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0015,Ashirbad Pahibahan,BRTA_A_127_NO,7,0.333,0.7,0.517,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0016,Ashulia Classic,BRTA_A_380_NO,9,0.391,0.5,0.446,low,no,Algorithmic suggestion only; manually validate before production.
SVC0017,Asmani,BRTA_A_362_NO,5,0.208,0.417,0.312,low,no,Algorithmic suggestion only; manually validate before production.
SVC0018,ATCL,BRTA_A_309_NO,5,0.333,0.5,0.417,low,no,Algorithmic suggestion only; manually validate before production.
SVC0019,Ayat,BRTA_A_344_NO,8,0.471,0.5,0.485,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0020,Bahon,BRTA_A_115_NO,9,0.346,0.6,0.473,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0021,Baishakhi,BRTA_A_302_NO,8,0.471,0.8,0.635,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0022,Balaka,BRTA_A_380_NO,9,0.3,0.5,0.4,low,no,Algorithmic suggestion only; manually validate before production.
SVC0023,Basumati,BRTA_A_429_NO,7,0.318,0.5,0.409,low,no,Algorithmic suggestion only; manually validate before production.
SVC0024,Basumati Transport,BRTA_A_271_NO,6,0.25,0.667,0.458,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0025,Best Satabdi AC,BRTA_A_341_NO,6,0.231,0.75,0.49,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0026,Best Transport,BRTA_A_458_NO,7,0.35,0.636,0.493,medium,no,Algorithmic suggestion only; manually validate before production.
